presentation_id,feature_name
1,Investment Firm,"Trian Fund Management, L.P."
1,Investment Advice Disclaimer,1
1,Investment Performance,The document discusses past investment performance and strategies
1,Investment Philosophy,The document outlines the company's investment philosophy and approach to value creation
1,Investment Metrics,1
1,Investment Strategy,1
2,Investment Strategy,false
2,Investment Thesis,true
2,Investor Oriented Language,true
2,Investor Relations Contact,true
3,Investment Advice Disclaimer,true
3,Investment Data,true
3,Investment Terminology,true
3,Investment Strategies,true
3,Investment Fund Size,true
3,Investment Return Measures,true
3,Investment Sectors,true
6,Investment Strategy,true
6,Investor Terms,"""The document uses investor-related terms like 'shareholder returns' and 'market cap'."""
6,Investment Details,true
6,Investor Outreach,true
7,Investment Thesis,true
7,Investor Oriented Language,true
7,Investment Details,"""True"""
7,Credit Investor Highlights,true
7,Investor Benefits,true
7,Investment Terms,true
7,Investment Securities,true
7,Investment Information,true
8,Investment Firm,"""Starboard Value LP"""
8,Investment Strategy,true
8,Investor Relations,true
8,Investment Thesis,true
8,Investor Oriented Language,true
8,Investment Terminology,true
8,Investment Strategies,true
8,Investment Details,false
8,Investment History,"""The document discusses the history of investments and involvement in the company, which is typical in investor presentations to provide context and background."""
8,Investment Recommendations,"""No"""
8,Investor Perspective,"""The document presents an investor's perspective (Starboard Value) on the company's performance and potential for growth. It also includes criticism of Box's management and execution."""
8,Investor Sentiment,true
8,Investor Criticisms,true
8,Investor Concerns,true
8,Investor Engagement,"""The document discusses attempts to engage with the company and align with stockholders, indicating it is an investor presentation."""
8,Investor Feedback,true
8,Investor Targeting,true
8,Investor Sentiments,true
8,Investment Commentary,true
8,Investor's Concerns,true
8,Investor Language,true
8,Investor Commentary,true
8,Investor Day References,true
8,Investment Risks,true
8,Investor Guidance,true
8,Investor Reaction,true
8,Investor Communication,true
8,Investment Plans,true
8,Investor Recommendations,true
8,Investment Info,"""Yes"""
8,Investment Opportunities,true
8,Investment Analysis,true
8,Investment Case,"""The document outlines the investment case for the company, highlighting its strengths and opportunities for growth."""
9,Investment Strategy,true
9,Investment Terms,true
10,Investment Strategy,false
10,Investment Recommendations,false
10,Investment Analysis,true
10,Investor Presentation,true
10,Investment Firm Introduction,true
10,Investment Objectives,false
10,Investor Information,"""The document contains information about the investor's stake, voting interests, and their view on the company's performance."""
13,Investor Relations Contact,false
13,Investment Terminology,"""The document contains investment-related terms such as 'forward-looking statements', 'non-GAAP financial measures', and 'securities'."""
13,Investment Highlights,true
15,Investment Terms,true
15,Investment Proposition,false
16,Investment Terminology,true
16,Investor Advisory Context,true
20,Investment Strategy,true
20,Investor Relations,true
20,Investment Thesis,false
20,Investment Terminology,true
20,Investor Communication,"""The document lacks investor day meetings, indicating it might be a form of communication with investors."""
20,Investor Group,"""FCM Group"""
