presentation_id,feature_name
11,Financial Terminology
11,Visual Aids
11,Company Overview
11,Detailed Analysis
11,Future Projections
11,Financial Information
11,Investment Recommendations
11,Speech Format
11,Historical Context
11,Lack of Visuals
11,Detailed Text
11,Lack of Financial Projections
11,No Company Specifics
11,Lack of Visual Aids
11,Historical Perspective
11,Absence of Future Plans
11,No Company Specific Information
11,Absence of Financial Metrics
11,Legal References
11,Accounting Terms
11,Explanation of Processes
11,Lack of Company-Specific Data
11,Lack of Marketing Language
11,Lack of Investment Request
11,Lack of Visual Data
11,Lack of Future Plans
11,Absence of Company Introduction
11,No Investment Proposal
11,No Business Strategy
11,No Market Analysis
11,Lack of Investor Benefits
11,Informal Language
11,Detailed Explanation
11,Use of Graphs or Charts
11,Direct Address
11,Instructional Tone
11,Promotional Content
11,Personal Opinion
11,Subjective Language
11,Objective Language
11,References to External Texts
11,Historical Data
11,Specific Company Mentioned
11,Technical Terms
11,Detailed Explanations
11,Statistics or Data
11,Product or Service Information
11,Footnotes
11,Conclusion
11,Inter-company Transactions
11,Sector-specific Terminology
11,Legal Entity Discussion
11,Consolidation Principles
11,Typographical Errors
14,Financial Data
14,Tables and Figures
14,Technical Terminology
14,Lack of Business Overview
14,Lack of Investor Information
14,Lack of Company Strategy
14,Lack of Market Analysis
14,Lack of Product or Service Description
14,Detailed Accounting Information
14,Numerical Data
14,Financial Terms
14,Tabulated Data
14,Time Periods
14,Percentage Values
14,GAAP References
14,Fiscal Year References
14,Reconciliation to GAAP Measures
14,Absence of Graphs or Charts
14,Absence of Company Specific Information
14,Absence of Strategic Plans
14,Absence of Investor Oriented Language
14,Absence of Market Analysis
14,Absence of Competitive Analysis
14,Absence of Company's Future Outlook
14,Absence of Product Descriptions
14,Absence of Management Team Introduction
17,Lack of Financial Projections
17,Technical Terminology
17,Absence of Competitive Analysis
17,Absence of Company Overview
17,No Market Overview
17,Lack of Investment Strategy
17,No Information on Management Team
17,Absence of Investment Risks
17,No Business Model
17,Lack of Financial Metrics
17,No Investor Relations Contact
17,Service Descriptions
17,Focus on Customer Data
19,Detailed Analysis
19,Lack of Visuals
19,Lack of Financial Projections
19,Absence of Market Analysis
19,Absence of Company Overview
19,Formal Language
19,Specific Audience
19,No Call to Action
19,No Sales or Marketing Strategy
19,Technical Jargon
19,No Competitive Analysis
19,Charts and Diagrams
19,Transactional Language
19,Detailed Process Description
19,Limited Distribution Notice
19,Absence of Financial Projections
19,Absence of Investment Proposition
19,Absence of Risk Analysis
19,Absence of Business Model
19,Absence of Team Introduction
49,Absence of Company Overview
49,Absence of Investment Proposition
49,Legal Terminology
49,Specific Case Scenarios
49,Lack of Financial Data
49,Question Format
